first_name	last_name	gender	matriculation_year	matriculation_number	student_id	date_of_birth	college	class_of	level	level_for_sorting
Amy	Santiago	F	2020	84	2020-84	2002-06-01	STM	2024	Se	3
Nicole	Young	F	2020	85	2020-85	2002-02-17	STC	2024	Se	3
Kaylee	Patterson	F	2020	86	2020-86	2002-02-04	STM	2024	Se	3
Theresa	Martin	F	2020	87	2020-87	2002-01-03	STB	2024	Se	3
Lisa	Evans	F	2020	88	2020-88	2002-08-05	STC	2024	Se	3
Joan	Patel	F	2020	89	2020-89	2002-04-15	STB	2024	Se	3
Barbara	Porter	F	2020	90	2020-90	2002-02-12	STC	2024	Se	3
Brittany	Walker	F	2020	91	2020-91	2002-03-20	STC	2024	Se	3
Holly	Carrillo	F	2020	92	2020-92	2002-06-07	STB	2024	Se	3
Tasha	King	F	2020	93	2020-93	2002-02-14	STB	2024	Se	3
Lisa	Paul	F	2020	94	2020-94	2002-12-14	STL	2024	Se	3
Elizabeth	Harper	F	2020	95	2020-95	2002-08-26	STM	2024	Se	3
Molly	Davis	F	2020	96	2020-96	2002-10-06	STM	2024	Se	3
Michelle	Johnson	F	2020	97	2020-97	2002-06-23	STB	2024	Se	3
Michelle	Collins	F	2020	98	2020-98	2002-05-22	STC	2024	Se	3
Alicia	Wilson	F	2020	99	2020-99	2002-08-13	STC	2024	Se	3
Alexa	Parks	F	2020	100	2020-100	2002-02-22	STL	2024	Se	3
Lori	Woodard	F	2020	101	2020-101	2002-10-01	STC	2024	Se	3
Brenda	Pacheco	F	2020	102	2020-102	2002-08-03	STB	2024	Se	3
Nancy	Villarreal	F	2020	103	2020-103	2002-05-05	STM	2024	Se	3
Crystal	Andrade	F	2020	104	2020-104	2002-08-25	STC	2024	Se	3
Cindy	Combs	F	2020	105	2020-105	2002-04-14	STM	2024	Se	3
Chelsea	Schmidt	F	2020	106	2020-106	2002-03-11	STM	2024	Se	3
Laura	Moreno	F	2020	107	2020-107	2002-09-23	STM	2024	Se	3
Pamela	Jones	F	2020	108	2020-108	2002-08-12	STC	2024	Se	3
Linda	Thomas	F	2020	109	2020-109	2002-06-04	STM	2024	Se	3
Taylor	Williamson	F	2020	110	2020-110	2002-06-13	STM	2024	Se	3
Cindy	Ingram	F	2020	111	2020-111	2002-06-25	STC	2024	Se	3
Hannah	Higgins	F	2020	112	2020-112	2002-08-14	STB	2024	Se	3
Donna	Johnson	F	2020	113	2020-113	2002-05-17	STM	2024	Se	3
Leslie	Richardson	F	2020	114	2020-114	2002-11-14	STM	2024	Se	3
Anna	Lane	F	2020	115	2020-115	2002-04-22	STB	2024	Se	3
Aimee	Jacobs	F	2020	116	2020-116	2002-11-12	STB	2024	Se	3
Theresa	Oconnor	F	2020	117	2020-117	2002-11-08	STC	2024	Se	3
Lisa	Williams	F	2020	118	2020-118	2002-11-22	STC	2024	Se	3
Jennifer	Duffy	F	2020	119	2020-119	2002-03-28	STM	2024	Se	3
Catherine	West	F	2020	120	2020-120	2002-07-10	STM	2024	Se	3
Jillian	Marsh	F	2020	121	2020-121	2002-12-06	STM	2024	Se	3
Michele	Weeks	F	2020	122	2020-122	2002-08-19	STC	2024	Se	3
Teresa	Ross	F	2020	123	2020-123	2002-06-19	STL	2024	Se	3
Angela	Hernandez	F	2020	124	2020-124	2002-01-08	STB	2024	Se	3
Lynn	Edwards	F	2020	125	2020-125	2002-05-22	STC	2024	Se	3
Rhonda	Pearson	F	2020	126	2020-126	2002-09-07	STC	2024	Se	3
Julia	Glass	F	2020	127	2020-127	2002-04-22	STM	2024	Se	3
Sarah	Smith	F	2020	128	2020-128	2002-10-17	STB	2024	Se	3
Leslie	Brown	F	2020	129	2020-129	2002-05-14	STM	2024	Se	3
Peggy	Taylor	F	2020	130	2020-130	2002-01-19	STM	2024	Se	3
Beth	Freeman	F	2020	131	2020-131	2002-12-20	STM	2024	Se	3
Christina	Romero	F	2020	132	2020-132	2002-09-01	STC	2024	Se	3
Meghan	Holloway	F	2020	133	2020-133	2002-08-05	STL	2024	Se	3
Andrea	Jones	F	2020	134	2020-134	2002-03-13	STB	2024	Se	3
Abigail	Davis	F	2020	135	2020-135	2002-12-06	STC	2024	Se	3
Laura	Cruz	F	2020	136	2020-136	2002-04-28	STM	2024	Se	3
Melissa	Murphy	F	2020	137	2020-137	2002-09-01	STC	2024	Se	3
Tara	Cole	F	2020	138	2020-138	2002-11-03	STB	2024	Se	3
Tiffany	Dunn	F	2020	139	2020-139	2002-04-04	STM	2024	Se	3
Tina	Smith	F	2020	140	2020-140	2002-12-16	STL	2024	Se	3
Jennifer	Graves	F	2020	141	2020-141	2002-05-07	STC	2024	Se	3
Erin	Thompson	F	2020	142	2020-142	2002-01-10	STL	2024	Se	3
Dominique	King	F	2020	143	2020-143	2002-10-09	STC	2024	Se	3
Patricia	Kim	F	2020	144	2020-144	2002-07-24	STB	2024	Se	3
Elizabeth	Miller	F	2020	145	2020-145	2002-10-16	STC	2024	Se	3
Brenda	Wilkins	F	2020	146	2020-146	2002-05-12	STB	2024	Se	3
Rachel	Bartlett	F	2020	147	2020-147	2002-06-14	STM	2024	Se	3
Dana	Reeves	F	2020	148	2020-148	2002-09-09	STM	2024	Se	3
Allison	Dixon	F	2020	149	2020-149	2002-07-05	STM	2024	Se	3
Sydney	Stout	F	2020	150	2020-150	2002-11-19	STC	2024	Se	3
Samantha	Sanders	F	2020	151	2020-151	2002-04-19	STL	2024	Se	3
Valerie	Smith	F	2020	152	2020-152	2002-05-05	STC	2024	Se	3
Chelsea	Foster	F	2020	153	2020-153	2002-06-10	STC	2024	Se	3
Nicole	Barker	F	2020	154	2020-154	2002-08-23	STM	2024	Se	3
Sharon	Knox	F	2020	155	2020-155	2002-09-04	STB	2024	Se	3
Crystal	George	F	2020	156	2020-156	2002-02-26	STC	2024	Se	3
Lauren	Vargas	F	2020	157	2020-157	2002-01-13	STM	2024	Se	3
Susan	Bryan	F	2020	158	2020-158	2002-06-25	STC	2024	Se	3
Wendy	Sanders	F	2020	159	2020-159	2002-07-14	STC	2024	Se	3
Tabitha	Durham	F	2020	160	2020-160	2002-11-09	STM	2024	Se	3
Autumn	Pugh	F	2020	161	2020-161	2002-04-14	STM	2024	Se	3
Leah	Thomas	F	2020	162	2020-162	2002-07-08	STM	2024	Se	3
Theresa	Duncan	F	2020	163	2020-163	2002-12-27	STC	2024	Se	3
Brenda	Butler	F	2020	164	2020-164	2002-06-01	STB	2024	Se	3
Melissa	Jones	F	2020	165	2020-165	2002-08-11	STM	2024	Se	3
Stephanie	Martin	F	2020	166	2020-166	2002-11-11	STM	2024	Se	3
Jennifer	Orr	F	2020	167	2020-167	2002-06-19	STC	2024	Se	3
Mary	Mclaughlin	F	2020	168	2020-168	2002-09-26	STB	2024	Se	3
Jordan	Clark	F	2020	169	2020-169	2002-06-16	STM	2024	Se	3
Barbara	Wallace	F	2020	170	2020-170	2002-12-07	STC	2024	Se	3
Michelle	Floyd	F	2020	171	2020-171	2002-10-04	STB	2024	Se	3
Nicole	Ferrell	F	2020	172	2020-172	2002-04-19	STC	2024	Se	3
Debra	Carter	F	2020	173	2020-173	2002-02-18	STB	2024	Se	3
Kelly	Williams	F	2020	174	2020-174	2002-06-11	STC	2024	Se	3
Michelle	Cole	F	2020	175	2020-175	2002-11-16	STB	2024	Se	3
Kara	Espinoza	F	2020	176	2020-176	2002-08-05	STM	2024	Se	3
Lydia	Sandoval	F	2020	177	2020-177	2002-11-08	STM	2024	Se	3
Alyssa	Collins	F	2020	178	2020-178	2002-10-08	STM	2024	Se	3
Bailey	Bowen	F	2020	179	2020-179	2002-04-19	STL	2024	Se	3
Tabitha	Gill	F	2020	180	2020-180	2002-10-27	STC	2024	Se	3
Ariana	Curry	F	2020	181	2020-181	2002-05-13	STM	2024	Se	3
Deborah	Booth	F	2020	182	2020-182	2002-09-13	STC	2024	Se	3
Kimberly	Allen	F	2020	183	2020-183	2002-01-03	STC	2024	Se	3
Pamela	Garner	F	2020	184	2020-184	2002-02-10	STM	2024	Se	3
Nicole	Hartman	F	2020	185	2020-185	2002-05-08	STM	2024	Se	3
Samantha	Anderson	F	2020	186	2020-186	2002-11-10	STM	2024	Se	3
Autumn	Smith	F	2020	187	2020-187	2002-09-23	STC	2024	Se	3
Laura	Porter	F	2020	188	2020-188	2002-08-17	STB	2024	Se	3
Hannah	Tran	F	2020	189	2020-189	2002-08-24	STM	2024	Se	3
Jessica	Ross	F	2020	190	2020-190	2002-09-24	STB	2024	Se	3
Sara	Wilson	F	2020	191	2020-191	2002-04-10	STM	2024	Se	3
Jocelyn	Walsh	F	2020	192	2020-192	2002-03-21	STB	2024	Se	3
Melissa	Ferguson	F	2020	193	2020-193	2002-12-04	STM	2024	Se	3
Michelle	Harris	F	2020	194	2020-194	2002-08-06	STM	2024	Se	3
Maria	Harrison	F	2020	195	2020-195	2002-12-22	STM	2024	Se	3
Kimberly	Mitchell	F	2020	196	2020-196	2002-07-07	STB	2024	Se	3
Lauren	Whitaker	F	2020	197	2020-197	2002-08-12	STL	2024	Se	3
Ashley	Perez	F	2020	198	2020-198	2002-08-28	STC	2024	Se	3
Tracy	Winters	F	2020	199	2020-199	2002-08-22	STM	2024	Se	3
Jill	Brown	F	2020	200	2020-200	2002-04-25	STC	2024	Se	3
Chelsea	Smith	F	2020	201	2020-201	2002-01-05	STM	2024	Se	3
Sarah	Hudson	F	2020	202	2020-202	2002-11-20	STB	2024	Se	3
Angela	Thomas	F	2020	203	2020-203	2002-10-26	STM	2024	Se	3
Donna	Munoz	F	2020	204	2020-204	2002-05-15	STM	2024	Se	3
Shelia	Reid	F	2020	205	2020-205	2002-01-17	STM	2024	Se	3
Kathy	Wang	F	2020	206	2020-206	2002-07-23	STC	2024	Se	3
Cheryl	Johnson	F	2020	207	2020-207	2002-05-04	STC	2024	Se	3
Deborah	Navarro	F	2020	208	2020-208	2002-08-17	STL	2024	Se	3
Erika	Marshall	F	2020	209	2020-209	2002-05-17	STC	2024	Se	3
Lisa	Wilson	F	2020	210	2020-210	2002-06-14	STB	2024	Se	3
Wendy	Mcbride	F	2020	211	2020-211	2002-02-09	STC	2024	Se	3
Angela	Robinson	F	2020	212	2020-212	2002-02-02	STM	2024	Se	3
Jennifer	Jones	F	2020	213	2020-213	2002-12-26	STB	2024	Se	3
Tiffany	Torres	F	2020	214	2020-214	2002-08-17	STL	2024	Se	3
Heather	Chambers	F	2020	215	2020-215	2002-12-13	STM	2024	Se	3
Teresa	Barry	F	2020	216	2020-216	2002-01-05	STB	2024	Se	3
Brandy	Webb	F	2020	217	2020-217	2002-11-17	STL	2024	Se	3
Michelle	Williams	F	2020	218	2020-218	2002-11-18	STL	2024	Se	3
Angela	Sellers	F	2020	219	2020-219	2002-12-04	STM	2024	Se	3
Savannah	Wilson	F	2020	220	2020-220	2002-02-11	STC	2024	Se	3
Cathy	Nguyen	F	2020	221	2020-221	2002-03-22	STM	2024	Se	3
Nicole	Edwards	F	2020	222	2020-222	2002-05-20	STC	2024	Se	3
Nicole	Castaneda	F	2020	223	2020-223	2002-07-11	STL	2024	Se	3
Danielle	Porter	F	2020	224	2020-224	2002-11-02	STM	2024	Se	3
Melissa	Jenkins	F	2020	225	2020-225	2002-09-26	STC	2024	Se	3
Brittany	Parker	F	2020	226	2020-226	2002-12-03	STC	2024	Se	3
Jamie	Moreno	F	2020	227	2020-227	2002-08-25	STC	2024	Se	3
Donna	Alvarez	F	2020	228	2020-228	2002-04-02	STL	2024	Se	3
Alicia	Hawkins	F	2020	229	2020-229	2002-07-13	STC	2024	Se	3
Suzanne	Cohen	F	2020	230	2020-230	2002-12-21	STB	2024	Se	3
Elizabeth	Pace	F	2020	231	2020-231	2002-07-01	STC	2024	Se	3
Christina	Brown	F	2020	232	2020-232	2002-01-06	STM	2024	Se	3
Katelyn	Stevens	F	2020	233	2020-233	2002-10-14	STB	2024	Se	3
Casey	Fitzgerald	F	2020	234	2020-234	2002-04-12	STB	2024	Se	3
Ashley	Smith	F	2020	235	2020-235	2002-05-04	STM	2024	Se	3
Christina	Rowland	F	2020	236	2020-236	2002-01-09	STB	2024	Se	3
Victoria	Mason	F	2020	237	2020-237	2002-09-26	STM	2024	Se	3
Isabel	Reyes	F	2020	238	2020-238	2002-09-11	STB	2024	Se	3
Amber	Soto	F	2020	239	2020-239	2002-03-08	STB	2024	Se	3
Cynthia	Walsh	F	2020	240	2020-240	2002-06-19	STC	2024	Se	3
Lisa	Brown	F	2020	241	2020-241	2002-06-16	STC	2024	Se	3
Jessica	Kennedy	F	2020	242	2020-242	2002-02-23	STM	2024	Se	3
Kimberly	Oneal	F	2020	243	2020-243	2002-08-21	STC	2024	Se	3
Jordan	Cook	F	2020	244	2020-244	2002-09-28	STB	2024	Se	3
Sandra	Velasquez	F	2020	245	2020-245	2002-04-15	STC	2024	Se	3
Shannon	Weeks	F	2020	246	2020-246	2002-08-17	STM	2024	Se	3
Donna	Rivas	F	2020	247	2020-247	2002-03-13	STM	2024	Se	3
Emily	Wallace	F	2020	248	2020-248	2002-07-14	STB	2024	Se	3
Erica	Scott	F	2020	249	2020-249	2002-06-10	STB	2024	Se	3
Christina	Martinez	F	2020	250	2020-250	2002-01-09	STB	2024	Se	3
Amy	Jones	F	2020	251	2020-251	2002-10-28	STM	2024	Se	3
Maria	Snyder	F	2020	252	2020-252	2002-07-27	STM	2024	Se	3
Crystal	Hall	F	2020	253	2020-253	2002-09-04	STC	2024	Se	3
Amanda	Moore	F	2020	254	2020-254	2002-06-24	STM	2024	Se	3
Danielle	Wilson	F	2020	255	2020-255	2002-07-19	STC	2024	Se	3
Theresa	Watson	F	2020	256	2020-256	2002-05-03	STB	2024	Se	3
Erica	Olson	F	2020	257	2020-257	2002-01-23	STC	2024	Se	3
Jordan	Atkinson	F	2020	258	2020-258	2002-07-04	STL	2024	Se	3
Laura	Martinez	F	2020	259	2020-259	2002-10-10	STL	2024	Se	3
Angela	Bruce	F	2020	260	2020-260	2002-03-10	STC	2024	Se	3
Christine	Martinez	F	2020	261	2020-261	2002-03-07	STC	2024	Se	3
Amanda	Campos	F	2020	262	2020-262	2002-03-09	STC	2024	Se	3
Mary	Chen	F	2020	263	2020-263	2002-05-15	STM	2024	Se	3
Erica	Green	F	2020	264	2020-264	2002-02-27	STL	2024	Se	3
Susan	Marshall	F	2020	265	2020-265	2002-12-06	STM	2024	Se	3
Krista	Lam	F	2020	266	2020-266	2002-03-11	STL	2024	Se	3
Michelle	Mathis	F	2020	267	2020-267	2002-06-18	STM	2024	Se	3
Sandra	Smith	F	2020	268	2020-268	2002-07-16	STM	2024	Se	3
Julie	Ferrell	F	2020	269	2020-269	2002-09-28	STC	2024	Se	3
Lauren	Moss	F	2020	270	2020-270	2002-04-15	STB	2024	Se	3
Stephanie	Parrish	F	2020	271	2020-271	2002-01-01	STB	2024	Se	3
Kellie	Tate	F	2020	272	2020-272	2002-10-19	STC	2024	Se	3
Krystal	Garcia	F	2020	273	2020-273	2002-06-16	STB	2024	Se	3
Tiffany	Nelson	F	2020	274	2020-274	2002-03-20	STM	2024	Se	3
Jacqueline	Ford	F	2020	275	2020-275	2002-02-12	STC	2024	Se	3
Yolanda	Newman	F	2020	276	2020-276	2002-11-17	STC	2024	Se	3
Kimberly	Patterson	F	2020	277	2020-277	2002-02-26	STM	2024	Se	3
Elizabeth	Lin	F	2020	278	2020-278	2002-09-24	STB	2024	Se	3
Kelly	Hunt	F	2020	279	2020-279	2002-10-28	STB	2024	Se	3
Lisa	Hogan	F	2020	280	2020-280	2002-05-16	STM	2024	Se	3
Katie	Taylor	F	2020	281	2020-281	2002-09-01	STC	2024	Se	3
Sarah	Williams	F	2020	282	2020-282	2002-04-05	STC	2024	Se	3
Susan	Campbell	F	2020	283	2020-283	2002-06-16	STB	2024	Se	3
Terry	Brown	F	2020	284	2020-284	2002-10-25	STB	2024	Se	3
Chloe	Reese	F	2020	285	2020-285	2002-05-10	STC	2024	Se	3
Lisa	Adams	F	2020	286	2020-286	2002-03-01	STB	2024	Se	3
Jennifer	Martin	F	2020	287	2020-287	2002-11-06	STL	2024	Se	3
Crystal	Morrow	F	2020	288	2020-288	2002-02-26	STM	2024	Se	3
Jamie	Duncan	F	2020	289	2020-289	2002-01-16	STC	2024	Se	3
Laura	Carney	F	2020	290	2020-290	2002-10-25	STL	2024	Se	3
Patricia	Meyer	F	2020	291	2020-291	2002-12-08	STB	2024	Se	3
Shelby	Graham	F	2020	292	2020-292	2002-03-17	STB	2024	Se	3
Faith	Rogers	F	2020	293	2020-293	2002-01-02	STM	2024	Se	3
Nancy	Garcia	F	2020	294	2020-294	2002-12-06	STM	2024	Se	3
Teresa	Hill	F	2020	295	2020-295	2002-05-24	STM	2024	Se	3
Christine	Riley	F	2020	296	2020-296	2002-11-26	STL	2024	Se	3
Brooke	Eaton	F	2020	297	2020-297	2002-05-14	STM	2024	Se	3
Karen	Webb	F	2020	298	2020-298	2002-04-01	STB	2024	Se	3
Jessica	Brown	F	2020	299	2020-299	2002-11-15	STC	2024	Se	3
Hannah	Williams	F	2020	300	2020-300	2002-06-12	STM	2024	Se	3
Kathleen	Miller	F	2020	301	2020-301	2002-12-08	STM	2024	Se	3
Catherine	Hunt	F	2020	302	2020-302	2002-01-24	STC	2024	Se	3
Andrea	Patel	F	2020	303	2020-303	2002-11-20	STM	2024	Se	3
Sandra	Weiss	F	2020	304	2020-304	2002-02-03	STM	2024	Se	3
Linda	Ramos	F	2020	305	2020-305	2002-02-18	STM	2024	Se	3
Dominique	Smith	F	2020	306	2020-306	2002-02-04	STL	2024	Se	3
Holly	Schmidt	F	2020	307	2020-307	2002-06-24	STL	2024	Se	3
Melissa	Brock	F	2020	308	2020-308	2002-07-11	STC	2024	Se	3
Angela	Hansen	F	2020	309	2020-309	2002-01-25	STM	2024	Se	3
Alexa	Ewing	F	2020	310	2020-310	2002-12-13	STL	2024	Se	3
Joanna	Young	F	2020	311	2020-311	2002-10-20	STC	2024	Se	3
Natasha	Clark	F	2020	312	2020-312	2002-05-05	STL	2024	Se	3
Jessica	Ramsey	F	2020	313	2020-313	2002-11-15	STB	2024	Se	3
Rebecca	Bruce	F	2020	314	2020-314	2002-11-28	STL	2024	Se	3
Katie	Knapp	F	2020	315	2020-315	2002-04-08	STL	2024	Se	3
Samantha	Patterson	F	2020	316	2020-316	2002-07-01	STM	2024	Se	3
Julie	Holland	F	2020	317	2020-317	2002-06-15	STC	2024	Se	3
Brianna	Harris	F	2020	318	2020-318	2002-05-28	STL	2024	Se	3
Christine	Hernandez	F	2020	319	2020-319	2002-09-03	STM	2024	Se	3
Cassandra	Rodriguez	F	2020	320	2020-320	2002-01-11	STB	2024	Se	3
Stephanie	Hudson	F	2020	321	2020-321	2002-10-27	STL	2024	Se	3
Whitney	Riggs	F	2020	322	2020-322	2002-05-13	STB	2024	Se	3
Ashley	Robinson	F	2020	323	2020-323	2002-07-11	STL	2024	Se	3
Sarah	Jarvis	F	2020	324	2020-324	2002-06-04	STM	2024	Se	3
Emily	Walker	F	2020	325	2020-325	2002-01-09	STB	2024	Se	3
Jessica	Galvan	F	2020	326	2020-326	2002-01-24	STB	2024	Se	3
Lisa	Carter	F	2020	327	2020-327	2002-12-26	STC	2024	Se	3
Kelly	Stanton	F	2020	328	2020-328	2002-12-18	STC	2024	Se	3
Shannon	Smith	F	2020	329	2020-329	2002-01-07	STC	2024	Se	3
Jessica	Harmon	F	2020	330	2020-330	2002-11-23	STM	2024	Se	3
Brittany	Brown	F	2020	331	2020-331	2002-11-13	STB	2024	Se	3
Amy	Delgado	F	2020	332	2020-332	2002-07-01	STB	2024	Se	3
Laura	Joseph	F	2020	333	2020-333	2002-09-24	STB	2024	Se	3
Lauren	Wood	F	2020	334	2020-334	2002-10-16	STB	2024	Se	3
Melissa	Taylor	F	2020	335	2020-335	2002-06-02	STM	2024	Se	3
Mary	Weber	F	2020	336	2020-336	2002-04-13	STB	2024	Se	3
Kim	Blake	F	2020	337	2020-337	2002-06-28	STM	2024	Se	3
Melissa	Morales	F	2020	338	2020-338	2002-06-23	STC	2024	Se	3
Amanda	Smith	F	2020	339	2020-339	2002-09-28	STM	2024	Se	3
Rachel	Graves	F	2020	340	2020-340	2002-11-26	STB	2024	Se	3
Nicole	Orozco	F	2020	341	2020-341	2002-10-18	STL	2024	Se	3
Melinda	Jenkins	F	2020	342	2020-342	2002-03-08	STL	2024	Se	3
Amber	Nguyen	F	2020	343	2020-343	2002-12-27	STM	2024	Se	3
Kimberly	Savage	F	2020	344	2020-344	2002-05-03	STB	2024	Se	3
Jamie	Warner	F	2020	345	2020-345	2002-04-25	STM	2024	Se	3
Julia	Alexander	F	2020	346	2020-346	2002-05-28	STC	2024	Se	3
Heather	Lee	F	2020	347	2020-347	2002-09-18	STC	2024	Se	3
Kristina	Gardner	F	2020	348	2020-348	2002-06-22	STL	2024	Se	3
Lori	Santiago	F	2020	349	2020-349	2002-09-09	STB	2024	Se	3
Erin	Campbell	F	2020	350	2020-350	2002-03-08	STB	2024	Se	3
Patricia	Hill	F	2020	351	2020-351	2002-07-06	STL	2024	Se	3
