Date,Day,Time,Time Zone,Wind (mph),Vis. (mi.),Weather,Sky Cond.,Air,Dwpt,Max.,Min.,Relative Humidity,Wind Chill (Â°F),Heat Index (Â°F),altimeter (in),sea level (mb),1 hr,3 hr,6 hr,Data Retrieval Date,Obs_Month,Obs_Year
2025-04-30,30,11:53,EDT,Calm,10.00,Partly Cloudy,FEW060 SCT080,82.9,60.1,,,46%,,83,30.04,1016.3,,,,2025-05-03,4,2025
2025-04-30,30,12:53,EDT,Vrbl  3,10.00,Mostly Cloudy,SCT060 BKN075 BKN085,84,57.9,,,41%,,83,30.02,1015.9,,,,2025-05-03,4,2025
2025-04-30,30,13:53,EDT,Calm,10.00,A Few Clouds,FEW060,82,57,84.9,71.1,43%,,82,30.01,1015.4,,,,2025-05-03,4,2025
2025-04-30,30,14:53,EDT,Vrbl  5,10.00,Mostly Cloudy,BKN070,84.9,55,,,36%,,84,30,1014.9,,,,2025-05-03,4,2025
2025-04-30,30,15:53,EDT,Vrbl  3,10.00,Mostly Cloudy,SCT075 BKN100,84,55.9,,,38%,,83,29.98,1014.6,,,,2025-05-03,4,2025
2025-04-30,30,16:53,EDT,S  5,10.00,Mostly Cloudy,BKN085,84,55.9,,,38%,,83,29.97,1014.2,,,,2025-05-03,4,2025
2025-04-30,30,17:53,EDT,E  3,10.00,Fair,CLR,84.9,54,,,35%,,83,29.97,1014.1,,,,2025-05-03,4,2025
2025-04-30,30,18:53,EDT,E  6,10.00,Mostly Cloudy,BKN095,82.9,57.9,,,43%,,83,29.98,1014.5,,,,2025-05-03,4,2025
2025-04-30,30,19:53,EDT,NE  7,10.00,Mostly Cloudy,BKN095,80.1,59,87.1,80.1,49%,,81,30.01,1015.5,,,,2025-05-03,4,2025
2025-04-30,30,20:53,EDT,NE  7,10.00,Fair,CLR,73.9,59,,,60%,,,30.03,1016.1,,,,2025-05-03,4,2025
2025-04-30,30,21:53,EDT,NE  7,10.00,Fair,CLR,73,60.1,,,64%,,,30.05,1016.8,,,,2025-05-03,4,2025
2025-04-30,30,22:53,EDT,N  3,10.00,Fair,CLR,71.1,60.1,,,68%,,,30.05,1016.9,,,,2025-05-03,4,2025
2025-04-30,30,23:53,EDT,Calm,10.00,Fair,CLR,69.1,59,,,70%,,,30.07,1017.4,,,,2025-05-03,4,2025
2025-05-01,1,00:53,EDT,N  5,10.00,Fair,CLR,66.9,59,,,76%,,,30.07,1017.4,,,,2025-05-03,5,2025
2025-05-01,1,01:53,EDT,N  6,10.00,Fair,CLR,66.9,59,79,66.9,76%,,,30.06,1017.2,,,,2025-05-03,5,2025
2025-05-01,1,02:53,EDT,N  3,10.00,Fair,CLR,64.9,57.9,,,78%,,,30.05,1017.0,,,,2025-05-03,5,2025
2025-05-01,1,03:53,EDT,N  3,10.00,Fair,CLR,64,57.9,,,81%,,,30.04,1016.7,,,,2025-05-03,5,2025
2025-05-01,1,04:53,EDT,Calm,10.00,Fair,CLR,62.1,57.9,,,86%,,,30.04,1016.6,,,,2025-05-03,5,2025
2025-05-01,1,05:53,EDT,Calm,10.00,Fair,CLR,62.1,57.9,,,86%,,,30.04,1016.6,,,,2025-05-03,5,2025
2025-05-01,1,06:53,EDT,Calm,10.00,Fair,CLR,63,57,,,81%,,,30.07,1017.4,,,,2025-05-03,5,2025
2025-05-01,1,07:53,EDT,Calm,10.00,Fair,CLR,64.9,57.9,66.9,61,78%,,,30.07,1017.4,,,,2025-05-03,5,2025
2025-05-01,1,08:53,EDT,Vrbl  3,10.00,Fair,CLR,68,57.9,,,70%,,,30.07,1017.5,,,,2025-05-03,5,2025
2025-05-01,1,09:53,EDT,Vrbl  3,9.00,Fair,CLR,73,60.1,,,64%,,,30.07,1017.4,,,,2025-05-03,5,2025
2025-05-01,1,10:53,EDT,Vrbl  3,10.00,Fair,CLR,75,61,,,62%,,77,30.05,1017.0,,,,2025-05-03,5,2025
2025-05-01,1,11:53,EDT,Calm,10.00,Fair,CLR,77,62.1,,,60%,,79,30.04,1016.6,,,,2025-05-03,5,2025
2025-05-01,1,12:53,EDT,S  8,10.00,Overcast,OVC100,80.1,64,,,58%,,82,30.02,1015.8,,,,2025-05-03,5,2025
2025-05-01,1,13:53,EDT,S  9  G 22,10.00,Partly Cloudy,SCT039,82.9,64,82.9,64.9,53%,,84,29.98,1014.6,,,,2025-05-03,5,2025
2025-05-01,1,14:53,EDT,S  13  G 20,10.00,Partly Cloudy,SCT050,84,63,,,49%,,85,29.95,1013.6,,,,2025-05-03,5,2025
2025-05-01,1,15:53,EDT,S  17  G 29,10.00,A Few Clouds,FEW065,87.1,57.9,,,37%,,86,29.92,1012.4,,,,2025-05-03,5,2025
2025-05-01,1,16:53,EDT,S  18  G 29,10.00,Fair,CLR,84.9,57,,,39%,,84,29.9,1011.9,,,,2025-05-03,5,2025
2025-05-01,1,17:53,EDT,S  12,10.00,Fair,CLR,82.9,55.9,,,40%,,82,29.9,1011.6,,,,2025-05-03,5,2025
2025-05-01,1,18:53,EDT,S  13  G 29,10.00,Fair,CLR,82,57,,,43%,,82,29.88,1011.2,,,,2025-05-03,5,2025
2025-05-01,1,19:53,EDT,S  16,10.00,Fair,CLR,79,57.9,88,78.1,49%,,80,29.89,1011.4,,,,2025-05-03,5,2025
2025-05-01,1,20:53,EDT,S  14  G 21,10.00,Fair,CLR,77,57,,,50%,,79,29.89,1011.5,,,,2025-05-03,5,2025
2025-05-01,1,21:53,EDT,S  10,10.00,A Few Clouds,FEW120,75,57.9,,,55%,,78,29.9,1011.8,,,,2025-05-03,5,2025
2025-05-01,1,22:53,EDT,S  139,10.00,Overcast and Windy,OVC100,75,57.9,,,55%,,78,29.9,1011.8,,,,2025-05-03,5,2025
2025-05-01,1,23:53,EDT,S  7,10.00,Partly Cloudy,SCT120,73,57.9,,,59%,,,29.9,1011.7,,,,2025-05-03,5,2025
2025-05-02,2,00:53,EDT,S  12,10.00,Fair,CLR,73,57,,,57%,,,29.9,1011.6,,,,2025-05-03,5,2025
2025-05-02,2,01:53,EDT,S  7,10.00,A Few Clouds,FEW095,69.1,55.9,79,69.1,63%,,,29.89,1011.6,,,,2025-05-03,5,2025
2025-05-02,2,02:53,EDT,S  6,10.00,Partly Cloudy,SCT090,69.1,57,,,66%,,,29.89,1011.4,,,,2025-05-03,5,2025
2025-05-02,2,03:53,EDT,S  7,10.00,Overcast,OVC095,69.1,57.9,,,68%,,,29.91,1011.8,,,,2025-05-03,5,2025
2025-05-02,2,04:53,EDT,S  8,10.00,Fair,CLR,66,57.9,,,75%,,,29.9,1011.8,,,,2025-05-03,5,2025
2025-05-02,2,05:53,EDT,S  7,10.00,Fair,CLR,66.9,57.9,,,73%,,,29.91,1012.2,,,,2025-05-03,5,2025
2025-05-02,2,06:53,EDT,S  8,10.00,Fair,CLR,66.9,60.1,,,79%,,,29.92,1012.6,,,,2025-05-03,5,2025
2025-05-02,2,07:53,EDT,S  6,10.00,Partly Cloudy,SCT110,66.9,60.1,72,64,79%,,,29.94,1013.2,,,,2025-05-03,5,2025
2025-05-02,2,08:53,EDT,SW  5,10.00,Fair,CLR,72,61,,,68%,,,29.95,1013.3,,,,2025-05-03,5,2025
2025-05-02,2,09:53,EDT,Vrbl  6,10.00,A Few Clouds,FEW110,75.9,57.9,,,54%,,78,29.95,1013.4,,,,2025-05-03,5,2025
2025-05-02,2,10:53,EDT,Vrbl  6,10.00,Fair,CLR,79,55.9,,,45%,,80,29.95,1013.5,,,,2025-05-03,5,2025
2025-05-02,2,11:53,EDT,SW  6,10.00,Fair,CLR,80.1,57,,,45%,,80,29.94,1013.1,,,,2025-05-03,5,2025
2025-05-02,2,12:53,EDT,SW  12  G 16,10.00,A Few Clouds,FEW060,82,52,,,35%,,81,29.92,1012.4,,,,2025-05-03,5,2025
2025-05-02,2,13:53,EDT,SW  9  G 16,10.00,A Few Clouds,FEW075,84,54,84.9,66.9,36%,,83,29.92,1012.5,,,,2025-05-03,5,2025
2025-05-02,2,14:53,EDT,SW  9  G 18,10.00,Fair,CLR,84,53.1,,,34%,,83,29.91,1011.9,,,,2025-05-03,5,2025
2025-05-02,2,15:53,EDT,SW  8,10.00,A Few Clouds,FEW080,84.9,50,,,30%,,83,29.88,1011.0,,,,2025-05-03,5,2025
2025-05-02,2,16:53,EDT,S  14  G 21,10.00,A Few Clouds,FEW110,84.9,54,,,35%,,83,29.87,1010.6,,,,2025-05-03,5,2025
2025-05-02,2,17:53,EDT,SW  14  G 21,10.00,Fair,CLR,84,54,,,36%,,83,29.85,1010.1,,,,2025-05-03,5,2025
2025-05-02,2,18:53,EDT,S  17  G 25,10.00,Fair,CLR,81,53.1,,,38%,,80,29.86,1010.2,,,,2025-05-03,5,2025
2025-05-02,2,19:53,EDT,SW  13  G 21,10.00,Fair,CLR,78.1,55.9,86,78.1,47%,,79,29.88,1011.0,,,,2025-05-03,5,2025
2025-05-02,2,20:53,EDT,SW  8,10.00,Fair,CLR,75.9,55,,,48%,,78,29.89,1011.3,,,,2025-05-03,5,2025
2025-05-02,2,21:53,EDT,SE  3,10.00,Fair,CLR,73,55,,,53%,,,29.9,1011.7,,,,2025-05-03,5,2025
2025-05-02,2,22:53,EDT,S  8,10.00,Fair,CLR,70,55.9,,,61%,,,29.89,1011.4,,,,2025-05-03,5,2025
2025-05-02,2,23:53,EDT,S  8,10.00,Fair,CLR,69.1,57,,,66%,,,29.9,1011.8,,,,2025-05-03,5,2025
